country,sex,age,fatality,año,mes,shark_specimen,tipo_lesion,lugar_lesion
USA,F,57,N,2018,06,white,others/unknown,others/unknown
USA,F,11,N,2018,06,others/unknown,others/unknown,piernas
USA,M,48,N,2018,06,others/unknown,others/unknown,piernas
AUSTRALIA,M,unkwown,N,2018,06,others/unknown,others/unknown,piernas
MEXICO,M,unkwown,N,2018,06,tiger,laceración,piernas
AUSTRALIA,M,unkwown,N,2018,06,others/unknown,mordiscos,others/unknown
BRAZIL,M,18,Y,2018,06,tiger,others/unknown,others/unknown
USA,M,52,N,2018,05,lemon,others/unknown,pies
USA,M,15,N,2018,05,bull,mordiscos,piernas
USA,M,12,N,2018,05,others/unknown,others/unknown,pies
AUSTRALIA,M,32,N,2018,05,reef,mordiscos,manos
USA,M,10,N,2018,05,others/unknown,others/unknown,piernas
USA,M,10,N,2018,05,others/unknown,mordiscos,brazos
ENGLAND,M,21,N,2018,05,others/unknown,others/unknown,others/unknown
AUSTRALIA,F,34,N,2018,05,nurse,laceración,manos
SOUTH AFRICA,M,unkwown,N,2018,05,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,unkwown,N,2018,05,others/unknown,others/unknown,others/unknown
THAILAND,M,unkwown,N,2018,04,others/unknown,others/unknown,pies
COSTA RICA,M,30,N,2018,04,tiger,mordiscos,others/unknown
AUSTRALIA,M,unkwown,N,2018,04,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,unkwown,N,2018,04,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,60,N,2018,04,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,unkwown,N,2018,04,white,others/unknown,piernas
MALDIVES,M,32,N,2018,04,tiger,others/unknown,manos
SOUTH AFRICA,M,33,N,2018,04,white,mordiscos,others/unknown
USA,M,29,N,2018,04,others/unknown,laceración,piernas
THAILAND,M,54,N,2018,04,bull,laceración,pies
BRAZIL,M,34,Desconocido,2018,04,others/unknown,amputacion,piernas
AUSTRALIA,M,41,N,2018,04,others/unknown,laceración,piernas
AUSTRALIA,M,37,N,2018,04,others/unknown,laceración,piernas
BAHAMAS,M,unkwown,N,2018,04,tiger,others/unknown,others/unknown
BRAZIL,M,56,N,2018,04,others/unknown,others/unknown,pies
NEW CALEDONIA,Desconocido,unkwown,N,2018,04,others/unknown,mordiscos,others/unknown
BAHAMAS,M,12,N,2018,04,bull,herida,pies
SOUTH AFRICA,M,19,N,2018,04,white,laceración,piernas
USA,M,25,N,2018,03,tiger,others/unknown,piernas
AUSTRALIA,M,10,N,2018,03,wobbegong,others/unknown,piernas
AUSTRALIA,M,69,N,2018,03,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,18,N,2018,03,others/unknown,others/unknown,pies
SOUTH AFRICA,M,38,N,2018,02,blacktip,others/unknown,others/unknown
AUSTRALIA,F,55,N,2018,02,white,others/unknown,piernas
AUSTRALIA,M,34,N,2018,02,others/unknown,golpe,others/unknown
AUSTRALIA,M,35,N,2018,02,bull,herida,piernas
AUSTRALIA,F,unkwown,N,2018,02,wobbegong,others/unknown,others/unknown
BRAZIL,F,46,N,2018,02,others/unknown,laceración,pies
ECUADOR,M,45,N,2018,02,others/unknown,others/unknown,pies
AUSTRALIA,M,14,N,2018,02,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,18,N,2018,01,bull,others/unknown,piernas
NEW CALEDONIA,M,45,N,2018,01,bull,others/unknown,tronco
AUSTRALIA,M,unkwown,N,2018,01,reef,laceración,brazos
AUSTRALIA,M,28,N,2018,01,white,others/unknown,others/unknown
BRAZIL,M,20,N,2018,01,others/unknown,others/unknown,brazos
AUSTRALIA,M,unkwown,N,2018,01,wobbegong,mordiscos,pies
USA,F,54,N,2017,12,tiger,laceración,piernas
USA,F,35,N,2017,12,others/unknown,mordiscos,pies
MALAYSIA,M,24,N,2017,12,nurse,others/unknown,piernas
BAHAMAS,F,25,N,2017,12,nurse,others/unknown,brazos
COSTA RICA,M,26,N,2017,11,tiger,others/unknown,piernas
COSTA RICA,F,49,Y,2017,11,tiger,others/unknown,others/unknown
LIBYA,Desconocido,unkwown,Y,2017,11,blue,others/unknown,others/unknown
USA,M,25,N,2017,11,white,mordiscos,piernas
USA,F,14,N,2017,11,others/unknown,mordiscos,pies
others/unknown,M,24,N,2017,11,others/unknown,herida,pies
AUSTRALIA,M,25,N,2017,11,others/unknown,herida,tronco
CUBA,M,22,Y,2017,11,tiger,others/unknown,others/unknown
AUSTRALIA,M,7,N,2017,10,others/unknown,others/unknown,piernas
AUSTRALIA,M,31,N,2017,10,wobbegong,others/unknown,pies
USA,M,unkwown,N,2017,10,others/unknown,mordiscos,others/unknown
MAURITIUS,M,unkwown,N,2017,10,others/unknown,others/unknown,pies
USA,M,17,N,2017,10,others/unknown,laceración,pies
USA,F,60,N,2017,10,others/unknown,laceración,manos
AUSTRALIA,F,15,N,2017,10,white,others/unknown,others/unknown
NEW ZEALAND,M,unkwown,N,2017,10,others/unknown,others/unknown,others/unknown
USA,M,unkwown,N,2017,10,spinner,laceración,pies
USA,M,54,N,2017,10,tiger,laceración,manos
USA,F,40,N,2017,10,others/unknown,others/unknown,others/unknown
SOUTH AFRICA,M,31,Desconocido,2017,10,others/unknown,others/unknown,others/unknown
USA,M,unkwown,N,2017,09,others/unknown,laceración,piernas
AUSTRALIA,M,unkwown,N,2017,09,white,others/unknown,others/unknown
USA,M,33,Desconocido,2017,09,others/unknown,laceración,pies
USA,M,unkwown,N,2017,09,others/unknown,laceración,brazos
USA,M,unkwown,N,2017,09,others/unknown,laceración,pies
SPAIN,M,13,N,2017,09,others/unknown,laceración,pies
USA,M,28,N,2017,09,others/unknown,laceración,pies
SOUTH AFRICA,M,25,Desconocido,2017,09,others/unknown,others/unknown,others/unknown
SAMOA,M,unkwown,N,2017,09,others/unknown,others/unknown,piernas
AUSTRALIA,Desconocido,unkwown,N,2017,09,white,golpe,others/unknown
USA,M,18,N,2017,09,others/unknown,laceración,pies
AUSTRALIA,M,unkwown,N,2017,09,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,35,N,2017,09,white,laceración,tronco
SOLOMON ISLANDS,M,unkwown,N,2017,09,others/unknown,mordiscos,pies
SOUTH AFRICA,M,unkwown,Y,2017,09,others/unknown,others/unknown,others/unknown
JAPAN,M,42,N,2017,09,others/unknown,others/unknown,pies
USA,M,unkwown,N,2017,09,nurse,laceración,tronco
USA,F,unkwown,N,2017,09,others/unknown,laceración,pies
USA,M,17,N,2017,09,others/unknown,others/unknown,manos
AUSTRALIA,M,37,N,2017,08,white,mordiscos,others/unknown
USA,F,3,N,2017,08,others/unknown,others/unknown,piernas
SPAIN,F,11,Desconocido,2017,08,others/unknown,laceración,pies
NEW ZEALAND,M,unkwown,N,2017,08,others/unknown,mordiscos,others/unknown
USA,M,69,N,2017,08,white,mordiscos,others/unknown
BAHAMAS,M,unkwown,N,2017,08,others/unknown,others/unknown,manos
USA,M,13,N,2017,08,blacktip,others/unknown,pies
EGYPT,F,20,N,2017,08,white,mordiscos,piernas
USA,M,34,N,2017,08,others/unknown,mordiscos,pies
USA,M,unkwown,N,2017,08,white,mordiscos,others/unknown
USA,M,15,N,2017,07,others/unknown,laceración,piernas
